Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
131,1171 S LANE AVE,Jacksonville,32205,Jacksonville Housing Authority Apartments,17,1989,Westwood Apartments,https://www.apartments.com/westwood-apartments-jacksonville-fl/zxh1dwx/,
132,7241 S OLD KINGS RD,Jacksonville,32219,Kings Crossing Gardens,17,1984,Kings Crossing Apartments,https://www.apartments.com/kings-crossing-apartments-jacksonville-fl/9ll7156/,
133,3534 SMITHFIELD ST,Jacksonville,32217,Lakewood Oaks Cgc,17,1974,Lakewood Oaks Apartments,https://www.lakewoodoaksapts.com/,
134,3960 OLD SUNBEAM RD,Jacksonville,32257,Mandarin Trace Apartments,17,1983,Mandarin Trace Apartments,https://www.apartments.com/mandarin-trace-apartments-jacksonville-fl/d8gsrph/,
135,653 MONUMENT RD,Jacksonville,32225,Meridian Apartments,17,1987,The Meridian,https://www.themeridianjacksonville.com/,
136,11001 OLD ST AUGUSTINE RD,Jacksonville,32257,Mid America Apartments,17,1987,MAA Mandarin Lakes,https://www.maac.com/florida/jacksonville/maa-mandarin-north/,
137,401 MONUMENT RD,Jacksonville,32225,Monument Road Apartments,17,1975,Oaks on Monument,https://www.apartments.com/oaks-on-monument-jacksonville-fl/01xcd01/,
138,801 W 4TH ST,Jacksonville,32209,Mulligan Scv Apartments,17,1993,Senior Citizen Village,https://www.jaxha.org/locations/detail/2744,
139,2130 MAYPORT RD,Jacksonville,32233,Mv Acquisition Apartments,17,1972,Surf A1A,https://liveatsurf.com/,
140,4754 ORTEGA HILLS DR,Jacksonville,32244,Ortega Hills Nm Apartments,17,1963,Ortega Village,https://www.ortegavillagejax.com/,
141,5681 EDENFIELD RD,Jacksonville,32277,Pc Sundance Pointe,17,2001,Sundance Pointe,https://www.sundancepointeapts.com/,
142,4800 ORTEGA FARMS BLVD,Jacksonville,32210,Qpg Ortega Apartments,17,1974,The Palms at Ortega,https://www.thepalmsatortega.com/,
143,8681 A C SKINNER PKWY,Jacksonville,32256,Bmg Lost Lake,16,2013,Lost Lake,https://www.liveatlostlake.com/,
144,3701 DANFORTH DR,Jacksonville,32224,Bw Danforth Apartments,16,1998,Club at Danforth,https://www.clubatdanforth.com/,
145,6650 CORPORATE CENTER PKWY,Jacksonville,32216,Cherishome Southside Apartments,16,2009,Coventry Park Apartments,https://www.coventryparkliving.com/,
146,2165 DUNSFORD TER,Jacksonville,32207,Dunsford Ter Apartments,16,1973,San Marco Village Apartments,https://www.apartments.com/san-marco-village-apartment-community-jacksonville-fl/1e6wle7/,
147,8231 W PRINCETON SQUARE BLVD,Jacksonville,32256,Everest Deerwood Apartments,16,1984,The Grove at Deerwood,https://www.thegroveaptsfl.com/,
148,10023 BELLE RIVE BLVD,Jacksonville,32256,Hampshire Place,16,1990,The Park at Potenza,https://www.theparkatpotenza.com/,
